# Server version 0.08 running on 142.157.148.119:8123
# Game ID: 498
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Thu Apr 03 12:16:43 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.119
# Player 2: Player-1, 'sSingMovePlayer', running on 142.157.148.119
# Player 3: Player-2, 'sSingMovePlayer', running on 142.157.148.119
# Player 4: Player-3, 'sSingMovePlayer', running on 142.157.148.119
START Player-0 s260401458
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 sSingMovePlayer
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (13,13) (11,11)
3 null null
0 (2,2) (4,4)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (1,2) (2,3)
1 (13,2) (11,4)
1 null null
2 (2,15) (4,13)
2 null null
3 (12,12) (10,10)
3 null null
0 (0,1) (1,2)
1 (13,0) (11,2)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (11,11) (9,9)
3 null null
0 (1,2) (3,4)
0 null null
1 (12,3) (10,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (10,10) (8,8)
3 null null
0 (0,3) (1,4)
1 (11,4) (9,6)
1 null null
2 (3,14) (5,12)
2 null null
3 (9,9) (7,7)
3 null null
0 (3,0) (4,1)
1 (10,5) (8,7)
1 (8,7) (6,7)
1 null null
2 (4,13) (6,11)
2 null null
3 (8,8) (6,6)
3 null null
0 (1,4) (2,5)
1 (15,2) (13,4)
1 null null
2 (5,12) (7,10)
2 null null
3 (7,7) (5,5)
3 null null
0 (4,1) (5,2)
1 (14,3) (12,5)
1 null null
2 (6,11) (8,9)
2 null null
3 (15,14) (13,12)
3 null null
0 (5,2) (6,3)
1 (13,4) (11,6)
1 null null
2 (7,10) (9,8)
2 null null
3 (13,15) (11,13)
3 null null
0 (2,0) (4,2)
0 null null
1 (13,1) (11,3)
1 null null
2 (8,9) (10,7)
2 null null
3 (12,14) (10,12)
3 (10,12) (10,10)
3 null null
0 (4,2) (5,3)
1 (12,2) (10,4)
1 null null
2 (3,11) (5,9)
2 null null
3 (15,13) (13,11)
3 null null
0 (5,3) (6,4)
1 (11,3) (9,5)
1 (9,5) (9,7)
1 (9,7) (9,9)
1 (9,9) (11,11)
1 (11,11) (9,11)
1 null null
2 (4,10) (6,8)
2 null null
3 (14,12) (12,10)
3 null null
0 (1,0) (3,2)
0 null null
1 (14,2) (12,4)
1 (12,4) (12,6)
1 (12,6) (10,6)
1 (10,6) (8,6)
1 null null
2 (1,14) (3,12)
2 null null
3 (13,11) (11,9)
3 null null
0 (3,2) (4,3)
1 (12,1) (10,3)
1 (10,3) (10,5)
1 (10,5) (8,7)
1 (8,7) (10,9)
1 (10,9) (8,7)
1 (8,7) (10,9)
1 (10,9) (8,7)
1 null null
2 (2,13) (4,11)
2 null null
3 (12,10) (10,8)
3 (10,8) (10,6)
3 null null
0 (3,4) (4,5)
1 (9,6) (7,8)
1 (7,8) (5,8)
1 (5,8) (3,10)
1 (3,10) (5,12)
1 (5,12) (5,14)
1 null null
2 (3,12) (5,10)
2 (5,10) (5,8)
2 (5,8) (7,6)
2 (7,6) (9,6)
2 null null
3 (14,13) (12,11)
3 null null
0 (4,5) (5,6)
1 (15,0) (14,1)
2 (5,9) (7,7)
2 (7,7) (9,5)
2 (9,5) (11,3)
2 (11,3) (11,1)
2 null null
3 (13,12) (11,10)
3 (11,10) (11,8)
3 null null
0 (2,1) (3,2)
1 (12,0) (10,2)
1 null null
2 (0,15) (1,14)
3 (15,15) (14,14)
0 (3,2) (5,4)
0 null null
1 (10,4) (9,5)
2 (9,6) (10,5)
3 (10,6) (8,4)
3 null null
0 (5,4) (6,5)
1 (9,5) (7,7)
1 (7,7) (5,9)
1 (5,9) (3,9)
1 null null
2 (11,1) (12,0)
3 (11,8) (9,6)
3 (9,6) (7,6)
3 (7,6) (5,4)
3 (5,4) (3,2)
3 (3,2) (3,0)
3 null null
0 (6,5) (7,6)
1 (3,9) (2,10)
2 (1,12) (2,11)
3 (6,6) (4,6)
3 null null
0 (1,1) (2,2)
1 (5,14) (4,15)
2 (6,8) (7,7)
3 (14,14) (13,13)
0 (2,2) (3,2)
1 (8,6) (6,8)
1 null null
2 (7,7) (9,7)
2 (9,7) (11,7)
2 (11,7) (11,5)
2 (11,5) (13,5)
2 null null
3 (10,11) (10,9)
3 null null
0 (3,2) (5,4)
0 null null
1 (6,8) (5,9)
2 (10,5) (11,4)
3 (5,5) (5,3)
3 null null
0 (5,4) (6,5)
1 (15,3) (14,4)
2 (13,5) (15,3)
2 null null
3 (4,6) (3,5)
0 (6,5) (7,5)
1 (14,4) (13,5)
2 (11,4) (12,3)
3 (13,13) (12,12)
0 (7,5) (8,6)
1 (14,1) (13,2)
2 (12,3) (14,1)
2 null null
3 (10,10) (10,8)
3 (10,8) (10,6)
3 null null
0 (8,6) (9,7)
1 (13,2) (12,3)
2 (10,7) (10,5)
2 (10,5) (12,7)
2 null null
3 (5,3) (4,2)
0 (4,4) (5,5)
1 (12,5) (10,7)
1 (10,7) (8,9)
1 null null
2 (9,8) (10,7)
3 (4,2) (2,0)
3 null null
0 (5,5) (6,6)
1 (11,6) (9,8)
1 (9,8) (7,10)
1 null null
2 (10,7) (11,6)
3 (12,12) (12,10)
3 (12,10) (10,8)
3 (10,8) (8,6)
3 null null
0 (6,6) (7,7)
1 (8,9) (6,11)
1 null null
2 (14,1) (15,0)
3 (8,6) (7,5)
0 (7,7) (8,8)
1 (7,10) (5,12)
1 (5,12) (5,14)
1 null null
2 (4,9) (6,9)
2 null null
3 (7,5) (5,3)
3 null null
0 (8,8) (9,9)
1 (2,10) (1,11)
2 (0,12) (2,10)
2 null null
3 (5,3) (4,2)
0 (9,9) (10,10)
1 (8,7) (7,8)
2 (6,9) (8,7)
2 (8,7) (10,7)
2 (10,7) (12,5)
2 (12,5) (14,5)
2 null null
3 (3,0) (1,0)
3 null null
0 (10,10) (11,11)
1 (11,2) (9,2)
1 null null
2 (14,5) (15,4)
3 (2,0) (0,0)
3 null null
0 (11,11) (12,12)
1 (9,2) (8,3)
2 (15,4) (15,2)
2 null null
3 (4,2) (2,0)
3 null null
0 (12,12) (13,13)
1 (12,3) (11,4)
2 (15,3) (15,1)
2 null null
3 (10,9) (9,8)
0 (13,13) (14,14)
1 (11,4) (10,5)
2 (12,7) (13,6)
3 (9,8) (9,6)
3 (9,6) (11,4)
3 (11,4) (9,6)
3 null null
0 (14,14) (15,15)
1 (10,5) (8,7)
1 (8,7) (6,9)
1 (6,9) (4,9)
1 null null
2 (13,6) (14,5)
3 (9,6) (8,5)
0 (15,15) (15,14)
1 (4,9) (3,10)
2 (2,11) (4,9)
2 (4,9) (6,9)
2 (6,9) (8,7)
2 (8,7) (10,7)
2 (10,7) (12,5)
2 null null
3 (11,13) (10,12)
0 (15,14) (15,13)
1 (3,10) (1,10)
1 (1,10) (1,12)
1 null null
2 (11,6) (13,4)
2 (13,4) (13,2)
2 null null
3 (10,12) (8,10)
3 null null
0 (2,5) (3,6)
1 (1,12) (0,13)
2 (13,2) (14,1)
3 (15,12) (14,11)
0 (3,6) (4,7)
1 (13,5) (11,5)
1 null null
2 (14,5) (15,4)
3 (14,11) (13,10)
0 (7,6) (8,7)
1 (8,3) (7,4)
2 (3,15) (5,15)
2 null null
3 (13,10) (12,9)
0 (8,7) (9,8)
1 (7,4) (5,4)
1 null null
2 (5,15) (6,14)
3 (12,9) (11,8)
0 (9,8) (10,9)
1 (5,4) (4,5)
2 (2,10) (3,9)
3 (12,11) (11,10)
0 (10,9) (12,11)
0 null null
1 (4,5) (2,5)
1 null null
2 (3,9) (4,8)
3 (11,10) (10,9)
0 (0,2) (2,4)
0 null null
1 (2,5) (1,6)
2 (4,8) (5,7)
3 (10,9) (9,8)
0 (2,4) (4,6)
0 null null
1 (1,6) (0,7)
2 (5,7) (7,7)
2 null null
3 (9,8) (9,6)
3 (9,6) (7,4)
3 (7,4) (5,2)
3 (5,2) (3,4)
3 (3,4) (1,2)
3 null null
0 (4,6) (5,7)
1 (6,11) (5,12)
2 (7,7) (8,6)
3 (1,2) (0,1)
0 (5,7) (6,8)
1 (5,12) (4,13)
2 (8,6) (9,5)
3 (3,5) (2,4)
0 (6,8) (7,9)
1 (4,13) (3,14)
2 (5,13) (6,12)
3 (2,4) (0,2)
3 null null
0 (15,13) (15,12)
1 (7,8) (6,9)
2 (6,12) (7,11)
3 (8,10) (6,8)
3 (6,8) (6,6)
3 (6,6) (4,6)
3 null null
0 (15,12) (14,12)
1 (6,9) (4,9)
1 null null
2 (7,11) (8,10)
3 (4,6) (3,5)
0 (6,4) (7,5)
1 (4,9) (3,10)
2 (9,5) (10,4)
3 (3,5) (2,4)
0 (7,5) (8,6)
1 (3,10) (2,11)
2 (10,4) (11,3)
3 (2,4) (2,2)
3 null null
0 (8,6) (10,8)
0 null null
1 (9,11) (8,12)
2 (11,3) (12,2)
3 (2,2) (1,1)
0 (10,8) (12,10)
0 null null
1 (8,12) (7,13)
2 (6,14) (8,12)
2 null null
3 (12,15) (11,14)
0 (3,1) (4,2)
1 (7,13) (6,14)
2 (8,12) (9,11)
3 (11,14) (10,13)
0 (4,2) (5,3)
1 (6,14) (4,14)
1 null null
2 (12,2) (13,1)
3 (8,4) (7,3)
0 (5,3) (6,4)
1 (4,14) (3,15)
2 (13,1) (14,0)
3 (7,3) (6,2)
0 (6,4) (7,5)
1 (4,15) (2,15)
1 null null
2 (8,10) (9,9)
3 (6,2) (5,1)
0 (7,5) (8,6)
1 (5,14) (4,15)
2 (9,9) (10,8)
3 (5,1) (4,0)
0 (8,6) (9,6)
1 (3,15) (1,15)
1 null null
2 (10,8) (12,8)
2 null null
3 (11,9) (11,7)
3 (11,7) (9,5)
3 (9,5) (7,5)
3 null null
0 (9,6) (10,7)
1 (2,15) (0,15)
1 null null
2 (12,8) (13,7)
3 (11,8) (9,6)
3 (9,6) (7,4)
3 (7,4) (5,2)
3 null null
0 (10,7) (11,8)
1 (10,2) (9,3)
2 (13,7) (14,6)
3 (7,5) (6,4)
0 (12,11) (13,12)
1 (2,11) (0,11)
1 null null
2 (14,6) (15,5)
3 (5,2) (4,1)
0 (13,12) (14,13)
1 (13,3) (12,4)
2 (15,5) (15,3)
2 null null
3 (4,1) (3,0)
0 (5,6) (7,8)
0 null null
1 (12,4) (12,6)
1 (12,6) (10,4)
1 (10,4) (12,6)
1 (12,6) (10,4)
1 (10,4) (12,6)
1 (12,6) (10,4)
1 (10,4) (12,6)
1 (12,6) (10,4)
1 (10,4) (12,6)
1 null null
2 (4,11) (5,10)
3 (6,4) (6,2)
3 null null
0 (6,3) (7,4)
1 (12,6) (11,7)
2 (5,10) (6,9)
3 (8,5) (6,3)
3 (6,3) (6,1)
3 null null
0 (7,4) (8,5)
1 (11,7) (10,8)
2 (6,9) (8,7)
2 (8,7) (10,7)
2 (10,7) (10,5)
2 null null
3 (6,2) (6,0)
3 null null
0 (9,7) (11,9)
0 null null
1 (11,5) (9,7)
1 null null
2 (10,5) (11,4)
