# Server version 0.08 running on 142.157.68.181:8123
# Game ID: 507
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Thu Apr 03 15:20:42 PDT 2014
# Player 1: Player-0, 'Greedy', running on 142.157.68.181
# Player 2: Player-1, 'sSingMovePlayer', running on 142.157.68.181
# Player 3: Player-2, 'sSingMovePlayer', running on 142.157.68.181
# Player 4: Player-3, 'Greedy', running on 142.157.68.181
START Player-0 Greedy
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 Greedy
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,15) (12,13)
3 null null
0 (0,0) (0,1)
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,15) (14,15)
0 (1,0) (3,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (15,14) (13,12)
3 null null
0 (2,0) (4,2)
0 null null
1 (13,2) (11,4)
1 null null
2 (2,15) (4,13)
2 null null
3 (15,13) (13,11)
3 null null
0 (3,0) (4,1)
1 (13,0) (11,2)
1 (11,2) (13,4)
1 (13,4) (11,2)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (15,12) (14,11)
0 (1,1) (3,3)
0 null null
1 (12,3) (10,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (14,15) (15,14)
0 (0,1) (1,1)
1 (11,4) (9,6)
1 null null
2 (3,14) (5,12)
2 null null
3 (13,15) (11,13)
3 null null
0 (0,2) (2,4)
0 null null
1 (10,5) (8,7)
1 null null
2 (4,13) (6,11)
2 null null
3 (12,15) (11,14)
0 (0,3) (0,4)
1 (9,6) (7,8)
1 null null
2 (5,12) (7,10)
2 null null
3 (15,14) (15,13)
0 (0,4) (1,5)
1 (8,7) (6,9)
1 null null
2 (6,11) (8,9)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,1) (2,0)
1 (15,2) (13,4)
1 null null
2 (7,10) (9,8)
2 null null
3 (13,14) (11,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,3) (12,5)
1 null null
2 (8,9) (10,7)
2 null null
3 (12,14) (10,12)
3 null null
0 (1,3) (3,5)
0 null null
1 (13,4) (11,6)
1 null null
2 (3,11) (5,9)
2 (5,9) (7,9)
2 (7,9) (7,7)
2 null null
3 (11,14) (10,14)
0 (1,5) (2,6)
1 (13,1) (11,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (10,14) (10,13)
0 (2,0) (3,0)
1 (12,2) (10,4)
1 null null
2 (2,13) (4,11)
2 null null
3 (15,13) (15,12)
0 (3,0) (5,2)
0 null null
1 (11,3) (9,5)
1 null null
2 (3,12) (5,10)
2 (5,10) (3,8)
2 (3,8) (5,10)
2 (5,10) (3,8)
2 null null
3 (14,13) (12,11)
3 null null
0 (2,1) (4,3)
0 null null
1 (10,4) (8,6)
1 (8,6) (6,8)
1 (6,8) (6,10)
1 null null
2 (0,15) (1,14)
3 (13,13) (11,11)
3 null null
0 (2,2) (4,4)
0 null null
1 (7,8) (5,10)
1 (5,10) (3,12)
1 null null
2 (1,12) (2,11)
3 (12,13) (10,11)
3 null null
0 (2,3) (4,5)
0 null null
1 (14,2) (12,4)
1 (12,4) (12,6)
1 (12,6) (10,6)
1 (10,6) (10,8)
1 (10,8) (8,8)
1 null null
2 (7,7) (8,6)
3 (11,13) (9,11)
3 null null
0 (2,4) (4,6)
0 null null
1 (9,5) (7,7)
1 null null
2 (8,6) (9,5)
3 (10,13) (9,12)
0 (2,6) (3,6)
1 (12,1) (10,3)
1 null null
2 (3,8) (4,7)
3 (15,12) (13,10)
3 null null
0 (3,1) (5,3)
0 null null
1 (11,2) (9,4)
1 (9,4) (9,6)
1 (9,6) (11,8)
1 (11,8) (9,6)
1 (9,6) (11,8)
1 (11,8) (9,6)
1 null null
2 (4,9) (5,8)
3 (14,12) (12,10)
3 null null
0 (3,2) (5,4)
0 null null
1 (15,0) (14,1)
2 (3,15) (4,14)
3 (13,12) (11,10)
3 null null
0 (3,3) (5,5)
0 null null
1 (9,6) (8,7)
2 (4,14) (6,12)
2 null null
3 (12,12) (10,10)
3 null null
0 (3,4) (5,6)
0 null null
1 (3,12) (2,13)
2 (5,13) (7,11)
2 (7,11) (5,9)
2 (5,9) (7,9)
2 (7,9) (9,7)
2 (9,7) (11,7)
2 (11,7) (11,5)
2 (11,5) (13,5)
2 null null
3 (11,12) (9,10)
3 null null
0 (3,5) (5,7)
0 null null
1 (2,13) (0,15)
1 null null
2 (4,7) (6,5)
2 null null
3 (10,12) (8,10)
3 null null
0 (3,6) (4,7)
1 (8,8) (7,9)
2 (6,12) (7,11)
3 (9,12) (8,12)
0 (4,1) (6,3)
0 null null
1 (7,9) (5,11)
1 (5,11) (3,11)
1 (3,11) (1,11)
1 null null
2 (7,11) (9,9)
2 (9,9) (9,7)
2 (9,7) (11,7)
2 (11,7) (11,5)
2 null null
3 (8,12) (7,11)
0 (4,2) (6,4)
0 null null
1 (10,3) (9,4)
2 (0,12) (2,10)
2 null null
3 (14,11) (12,9)
3 null null
0 (5,2) (7,4)
0 null null
1 (15,3) (14,4)
2 (6,5) (8,3)
2 (8,3) (10,5)
2 null null
3 (13,11) (11,9)
3 null null
0 (4,3) (6,5)
0 null null
1 (14,4) (12,6)
1 (12,6) (10,6)
1 (10,6) (10,8)
1 (10,8) (8,8)
1 (8,8) (6,6)
1 (6,6) (4,8)
1 null null
2 (11,5) (12,4)
3 (13,10) (11,8)
3 null null
0 (5,3) (7,5)
0 null null
1 (13,3) (11,5)
1 (11,5) (11,7)
1 (11,7) (9,7)
1 (9,7) (9,9)
1 null null
2 (10,5) (11,4)
3 (12,11) (10,9)
3 null null
0 (6,3) (8,5)
0 null null
1 (9,4) (7,6)
1 (7,6) (7,8)
1 (7,8) (5,10)
1 (5,10) (3,12)
1 null null
2 (11,4) (13,4)
2 null null
3 (12,10) (10,8)
3 null null
0 (4,4) (6,6)
0 null null
1 (3,12) (2,13)
2 (1,14) (3,12)
2 (3,12) (5,10)
2 (5,10) (7,8)
2 (7,8) (9,6)
2 (9,6) (9,4)
2 null null
3 (12,9) (12,8)
0 (5,4) (7,6)
0 null null
1 (2,13) (1,14)
2 (9,4) (10,3)
3 (12,8) (11,7)
0 (6,4) (8,6)
0 null null
1 (4,8) (3,9)
2 (2,10) (4,8)
2 (4,8) (6,8)
2 null null
3 (11,11) (12,10)
0 (7,4) (9,6)
0 null null
1 (7,7) (5,9)
1 (5,9) (3,11)
1 null null
2 (10,7) (12,7)
2 null null
3 (10,11) (8,9)
3 null null
0 (4,5) (6,7)
0 null null
1 (12,5) (10,7)
1 null null
2 (10,3) (11,2)
3 (9,11) (7,9)
3 null null
0 (5,5) (7,7)
0 null null
1 (3,9) (2,10)
2 (12,7) (13,6)
3 (7,11) (5,9)
3 null null
0 (4,6) (4,8)
0 null null
1 (9,9) (7,11)
1 null null
2 (13,6) (14,5)
3 (12,10) (12,9)
0 (5,6) (7,8)
0 null null
1 (2,10) (0,12)
1 null null
2 (6,8) (8,8)
2 null null
3 (12,9) (12,8)
0 (4,7) (4,9)
0 null null
1 (7,11) (6,12)
2 (4,10) (6,8)
2 (6,8) (4,6)
2 null null
3 (12,8) (10,6)
3 null null
0 (4,8) (6,8)
0 null null
1 (6,12) (5,13)
2 (8,8) (9,7)
3 (11,10) (12,9)
0 (4,9) (5,10)
1 (6,9) (4,9)
1 null null
2 (4,11) (6,9)
2 null null
3 (10,10) (9,9)
0 (5,7) (4,8)
1 (14,1) (13,2)
2 (9,7) (11,5)
2 (11,5) (13,3)
2 (13,3) (13,1)
2 null null
3 (9,10) (7,10)
3 null null
0 (4,8) (4,10)
0 null null
1 (13,2) (12,3)
2 (4,6) (5,5)
3 (8,10) (8,8)
3 null null
0 (4,10) (5,11)
1 (6,10) (4,12)
1 (4,12) (2,10)
1 (2,10) (2,12)
1 null null
2 (5,5) (6,4)
3 (7,10) (6,10)
0 (5,10) (6,11)
1 (3,11) (1,13)
1 (1,13) (1,15)
1 null null
2 (14,5) (15,4)
3 (6,10) (4,8)
3 null null
0 (5,11) (6,12)
1 (2,12) (1,13)
2 (13,4) (14,3)
3 (12,9) (12,8)
0 (6,5) (7,4)
1 (1,13) (0,14)
2 (14,3) (15,2)
3 (11,9) (9,7)
3 null null
0 (6,6) (5,7)
1 (4,9) (3,10)
2 (2,11) (4,9)
2 (4,9) (4,7)
2 null null
3 (12,8) (12,7)
0 (7,4) (8,4)
1 (5,13) (4,14)
2 (11,2) (12,1)
3 (12,7) (10,5)
3 null null
0 (8,4) (9,4)
1 (3,10) (2,11)
2 (9,5) (11,5)
2 (11,5) (13,3)
2 null null
3 (11,8) (12,7)
0 (9,4) (10,3)
1 (11,6) (11,8)
1 (11,8) (9,10)
1 null null
2 (9,8) (11,6)
2 (11,6) (9,4)
2 (9,4) (11,2)
2 (11,2) (13,0)
2 null null
3 (12,7) (11,6)
0 (10,3) (11,4)
1 (10,7) (9,8)
2 (12,4) (14,2)
2 null null
3 (11,7) (9,5)
3 null null
0 (11,4) (12,5)
1 (9,8) (7,10)
1 (7,10) (5,12)
1 null null
2 (13,3) (15,1)
2 null null
3 (11,6) (9,4)
3 null null
0 (5,7) (5,6)
1 (9,10) (8,11)
2 (4,7) (6,5)
2 (6,5) (6,3)
2 null null
3 (10,9) (10,7)
3 null null
0 (7,5) (8,4)
1 (5,12) (4,13)
2 (13,5) (14,4)
3 (10,8) (11,7)
0 (8,4) (10,4)
0 null null
1 (4,13) (3,14)
2 (14,4) (15,3)
3 (11,7) (11,6)
0 (10,4) (11,5)
1 (8,11) (7,12)
2 (15,2) (15,0)
2 null null
3 (11,6) (11,4)
3 null null
0 (5,6) (5,7)
1 (7,12) (5,12)
1 null null
2 (15,4) (15,2)
2 null null
3 (11,4) (10,3)
0 (7,6) (9,8)
0 null null
1 (5,12) (4,13)
2 (5,8) (7,6)
2 null null
3 (10,7) (11,6)
0 (8,5) (10,7)
0 null null
1 (4,13) (2,15)
1 null null
2 (7,6) (8,5)
3 (11,6) (11,4)
3 null null
0 (11,5) (12,6)
1 (12,0) (11,1)
2 (6,4) (7,3)
3 (11,4) (9,2)
3 null null
0 (12,5) (12,7)
0 null null
1 (11,1) (10,2)
2 (7,3) (8,2)
3 (10,6) (8,4)
3 null null
0 (8,6) (10,8)
0 null null
1 (12,3) (11,4)
2 (8,2) (9,1)
3 (10,5) (8,3)
3 null null
0 (9,6) (11,8)
0 null null
1 (11,4) (10,5)
2 (9,1) (10,0)
3 (10,3) (8,1)
3 null null
0 (12,6) (13,7)
1 (10,5) (9,6)
2 (8,5) (10,3)
2 (10,3) (10,1)
2 null null
3 (9,9) (11,7)
3 null null
0 (5,7) (3,9)
0 null null
1 (4,14) (3,15)
2 (10,1) (11,0)
3 (8,9) (7,10)
0 (6,7) (8,9)
0 null null
1 (8,7) (6,7)
1 null null
2 (6,9) (8,7)
2 (8,7) (10,5)
2 null null
3 (8,8) (6,6)
3 null null
0 (6,8) (8,10)
0 null null
1 (9,6) (8,7)
2 (10,0) (12,0)
2 (12,0) (14,0)
2 null null
3 (7,10) (6,10)
0 (7,7) (8,8)
1 (8,7) (6,9)
1 (6,9) (4,9)
1 (4,9) (2,9)
1 null null
2 (10,5) (11,4)
3 (7,9) (7,7)
3 null null
