# Server version 0.08 running on George_y410p:8123
# Game ID: 555
# Board class: halma.CCBoard
# Timeout: 10000
# Date: Thu Apr 03 23:35:20 PDT 2014
# Player 1: Player-0, 's260401458', running on George_y410p
# Player 2: Player-1, 'sSingMovePlayer', running on George_y410p
# Player 3: Player-2, 'sSingMovePlayer', running on George_y410p
# Player 4: Player-3, 'Human', running on George_y410p
START Player-0 s260401458
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 Human
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 (14,4) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (11,11) (10,10)
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (13,2) (11,4)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,12) (13,13)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 (5,4) (3,6)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (13,13) (11,11)
3 (11,11) (9,9)
3 null null
0 (3,6) (4,7)
1 (14,3) (12,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
3 (9,9) (8,8)
0 (1,2) (3,0)
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 (5,4) (3,6)
0 (3,6) (5,8)
0 null null
1 (13,4) (11,6)
1 null null
2 (4,9) (6,7)
2 null null
3 (15,13) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,9)
3 (9,9) (7,7)
3 null null
0 (3,3) (5,5)
0 (5,5) (5,7)
0 (5,7) (5,9)
0 null null
1 (12,3) (10,5)
1 null null
2 (4,10) (6,8)
2 (6,8) (8,6)
2 null null
3 (7,7) (6,6)
0 (5,9) (5,7)
0 (5,7) (7,7)
0 (7,7) (9,9)
0 (9,9) (11,11)
0 (11,11) (13,13)
0 null null
1 (11,4) (9,6)
1 (9,6) (7,6)
1 null null
2 (3,14) (5,12)
2 null null
3 (6,6) (4,6)
3 null null
0 (13,13) (15,15)
0 null null
1 (13,1) (11,3)
1 null null
2 (4,13) (6,11)
2 null null
3 (14,13) (13,13)
0 (2,0) (4,2)
0 null null
1 (12,2) (10,4)
1 (10,4) (10,6)
1 null null
2 (5,12) (7,10)
2 null null
3 (13,13) (11,11)
3 (11,11) (9,9)
3 (9,9) (7,7)
3 null null
0 (5,6) (7,8)
0 (7,8) (9,8)
0 null null
1 (12,5) (10,7)
1 (10,7) (8,9)
1 null null
2 (6,7) (8,5)
2 null null
3 (13,15) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,9)
3 (9,9) (9,7)
3 (9,7) (7,5)
3 null null
0 (4,7) (6,9)
0 (6,9) (8,11)
0 null null
1 (14,2) (12,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (3,10)
2 null null
3 (12,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (9,8) (7,8)
0 (7,8) (9,10)
0 (9,10) (11,10)
0 (11,10) (13,12)
0 null null
1 (13,3) (11,5)
1 (11,5) (9,7)
1 (9,7) (7,9)
1 (7,9) (7,11)
1 (7,11) (5,11)
1 null null
2 (7,10) (9,8)
2 null null
3 (12,11) (11,11)
0 (4,5) (4,3)
0 (4,3) (4,5)
0 (4,5) (4,7)
0 (4,7) (6,9)
0 null null
1 (15,0) (14,1)
2 (0,15) (1,14)
3 (11,11) (9,9)
3 null null
0 (4,2) (5,3)
1 (8,9) (7,10)
2 (6,11) (8,9)
2 (8,9) (10,7)
2 (10,7) (12,5)
2 (12,5) (12,3)
2 null null
3 (14,15) (14,13)
3 (14,13) (12,11)
3 null null
0 (13,12) (12,13)
1 (7,10) (6,11)
2 (12,3) (13,2)
3 (12,11) (11,11)
0 (5,3) (3,5)
0 (3,5) (5,7)
0 (5,7) (5,9)
0 (5,9) (7,9)
0 (7,9) (9,7)
0 null null
1 (14,1) (12,3)
1 (12,3) (10,3)
1 null null
2 (1,14) (3,12)
2 null null
3 (13,14) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 null null
0 (0,2) (2,4)
0 null null
1 (10,3) (9,4)
2 (2,13) (4,11)
2 null null
3 (9,10) (8,9)
0 (1,3) (3,5)
0 (3,5) (5,7)
0 (5,7) (5,9)
0 (5,9) (7,9)
0 null null
1 (5,11) (4,12)
2 (3,12) (5,10)
2 (5,10) (7,8)
2 (7,8) (9,10)
2 (9,10) (11,10)
2 null null
3 (8,9) (8,7)
3 (8,7) (6,7)
3 null null
0 (6,9) (8,9)
0 (8,9) (10,9)
0 (10,9) (12,11)
0 null null
1 (4,12) (3,13)
2 (8,5) (10,3)
2 (10,3) (12,3)
2 (12,3) (14,1)
2 null null
3 (14,14) (13,13)
0 (15,15) (15,13)
0 (15,13) (15,15)
0 null null
1 (3,13) (1,15)
1 null null
2 (13,2) (15,0)
2 null null
