# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 709
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 17:11:32 PDT 2014
# Player 1: Player-0, 'random', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
0 (3,0) (3,2)
0 null null
1 (13,1) (11,1)
1 (11,1) (13,1)
1 null null
2 (1,12) (2,11)
3 (12,15) (11,15)
0 (1,2) (1,4)
0 (1,4) (1,2)
0 (1,2) (1,4)
0 (1,4) (1,2)
0 (1,2) (1,4)
0 null null
1 (13,2) (11,0)
1 null null
2 (0,13) (0,11)
2 null null
3 (13,13) (12,13)
0 (1,0) (3,0)
0 (3,0) (1,0)
0 (1,0) (3,0)
0 null null
1 (14,3) (13,3)
2 (3,14) (4,15)
3 (12,14) (12,15)
0 (2,1) (4,1)
0 null null
1 (13,3) (14,4)
2 (3,15) (4,14)
3 (11,15) (10,14)
0 (2,2) (4,0)
0 null null
1 (13,1) (12,2)
2 (2,11) (3,10)
3 (14,14) (12,14)
3 (12,14) (12,12)
3 null null
0 (2,0) (4,2)
0 (4,2) (2,2)
0 null null
1 (13,0) (13,1)
2 (3,10) (2,11)
3 (12,12) (12,14)
3 null null
0 (3,1) (2,0)
1 (15,0) (13,2)
1 (13,2) (15,0)
1 (15,0) (13,2)
1 (13,2) (11,2)
1 (11,2) (13,2)
1 (13,2) (11,2)
1 (11,2) (13,2)
1 null null
2 (1,15) (3,13)
2 (3,13) (1,15)
2 (1,15) (3,15)
2 (3,15) (1,15)
2 (1,15) (3,15)
2 null null
3 (10,14) (9,14)
0 (4,1) (5,0)
1 (14,2) (13,3)
2 (0,12) (1,11)
3 (15,14) (13,12)
3 (13,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (11,14)
3 null null
0 (2,2) (3,1)
1 (15,2) (13,0)
1 (13,0) (15,2)
1 (15,2) (13,0)
1 (13,0) (15,2)
1 null null
2 (0,15) (1,15)
3 (12,13) (13,12)
0 (3,1) (2,1)
1 (12,0) (11,1)
2 (1,13) (3,13)
2 (3,13) (1,13)
2 (1,13) (3,13)
2 (3,13) (5,15)
2 (5,15) (3,13)
2 (3,13) (5,15)
2 null null
3 (14,13) (15,14)
0 (0,3) (2,5)
0 null null
1 (14,1) (12,3)
1 (12,3) (14,3)
1 null null
2 (1,11) (1,10)
3 (12,15) (10,13)
3 null null
0 (4,0) (3,1)
1 (14,0) (13,0)
2 (1,10) (3,12)
2 (3,12) (1,10)
2 null null
3 (13,12) (13,13)
0 (3,1) (4,2)
1 (14,4) (13,4)
2 (1,14) (3,12)
2 null null
3 (12,14) (12,13)
0 (5,0) (6,1)
1 (15,2) (14,2)
2 (2,13) (1,13)
3 (12,13) (11,13)
0 (0,1) (1,0)
1 (12,2) (10,0)
1 (10,0) (12,0)
1 (12,0) (14,0)
1 null null
2 (1,13) (2,13)
3 (13,15) (12,14)
0 (4,2) (2,2)
0 (2,2) (0,4)
0 (0,4) (2,4)
0 (2,4) (2,6)
0 null null
1 (14,2) (12,4)
1 (12,4) (14,4)
1 null null
2 (3,15) (3,14)
3 (13,14) (14,13)
0 (2,0) (3,1)
1 (13,4) (13,5)
2 (0,14) (1,14)
3 (12,14) (10,14)
3 (10,14) (8,14)
3 null null
0 (3,2) (2,2)
1 (13,3) (12,2)
2 (3,12) (4,11)
3 (14,13) (13,12)
0 (6,1) (5,2)
1 (14,4) (14,2)
1 null null
2 (2,11) (3,11)
3 (11,13) (10,12)
0 (2,5) (0,3)
0 (0,3) (2,5)
0 (2,5) (2,7)
0 (2,7) (2,5)
0 (2,5) (0,3)
0 (0,3) (2,3)
0 (2,3) (0,5)
0 (0,5) (2,3)
0 (2,3) (0,5)
0 null null
1 (13,2) (13,3)
2 (4,11) (5,10)
3 (14,15) (13,15)
0 (3,1) (4,2)
1 (11,1) (12,0)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 (1,14) (3,12)
2 (3,12) (1,14)
2 null null
3 (8,14) (9,13)
0 (3,0) (1,2)
0 null null
1 (14,3) (15,2)
2 (2,13) (1,13)
3 (9,14) (8,15)
0 (1,4) (1,5)
1 (11,0) (10,1)
2 (2,15) (2,13)
2 null null
3 (11,14) (12,15)
0 (5,2) (4,3)
1 (13,5) (13,4)
2 (3,14) (3,13)
3 (10,13) (11,14)
0 (1,5) (2,5)
1 (13,0) (14,1)
2 (2,13) (2,15)
2 (2,15) (0,13)
2 null null
