# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 722
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 17:36:52 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'Human', running on 142.157.148.33
START Player-0 s260401458
START Player-1 random
START Player-2 random
START Player-3 Human
0 (2,2) (3,3)
1 (14,1) (12,3)
1 null null
2 (1,13) (2,12)
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (13,1) (11,1)
1 null null
2 (3,14) (4,14)
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
