# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 737
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sat Apr 05 18:00:46 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 's260401458', running on 142.157.148.33
# Player 4: Player-3, 'Human', running on 142.157.148.33
START Player-0 s260401458
START Player-1 random
START Player-2 s260401458
START Player-3 Human
0 (0,1) (2,3)
0 null null
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 null null
2 (0,14) (2,12)
2 null null
3 (13,13) (12,12)
0 (1,2) (3,4)
0 null null
1 (14,4) (14,2)
1 (14,2) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (2,0) (4,2)
0 null null
1 (15,1) (14,2)
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (0,0) (2,0)
0 (2,0) (4,0)
0 null null
1 (14,3) (15,4)
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (10,11) (10,10)
0 (1,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (12,2) (11,1)
2 (2,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 null null
0 (2,1) (0,1)
0 (0,1) (2,1)
0 (2,1) (4,1)
0 (4,1) (6,3)
0 null null
1 (15,4) (14,3)
2 (0,12) (2,12)
2 (2,12) (4,10)
2 null null
3 (9,10) (9,9)
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (12,1) (11,2)
2 (3,11) (5,11)
2 (5,11) (7,9)
2 null null
3 (12,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 (10,11) (10,9)
3 (10,9) (8,9)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (13,2) (12,2)
2 (5,10) (7,10)
2 (7,10) (9,8)
2 null null
3 (8,9) (8,8)
0 (2,3) (4,5)
0 (4,5) (4,7)
0 null null
1 (15,2) (13,2)
1 null null
2 (3,14) (1,14)
2 (1,14) (3,12)
2 (3,12) (5,10)
2 (5,10) (7,10)
2 (7,10) (7,8)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,5)
0 null null
1 (13,0) (11,0)
1 (11,0) (13,0)
1 null null
2 (1,15) (3,13)
2 null null
3 (14,14) (13,13)
0 (3,4) (3,6)
0 (3,6) (5,8)
0 null null
1 (11,2) (10,1)
2 (1,12) (3,14)
2 (3,14) (3,12)
2 (3,12) (5,10)
2 (5,10) (7,10)
2 null null
3 (14,13) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 (10,11) (10,9)
3 (10,9) (8,9)
3 (8,9) (8,7)
3 (8,7) (6,9)
3 (6,9) (6,11)
3 (6,11) (8,9)
3 (8,9) (6,7)
3 null null
0 (4,6) (4,4)
0 (4,4) (4,6)
0 (4,6) (4,8)
0 (4,8) (6,8)
0 (6,8) (8,10)
0 (8,10) (10,8)
0 (10,8) (8,10)
0 (8,10) (10,8)
0 null null
1 (13,1) (15,1)
1 (15,1) (13,3)
1 (13,3) (13,1)
1 null null
2 (7,9) (9,7)
2 null null
3 (13,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 null null
0 (4,7) (6,9)
0 (6,9) (8,11)
0 null null
1 (11,1) (12,1)
2 (2,14) (4,12)
2 null null
3 (9,10) (8,9)
0 (3,1) (5,3)
0 (5,3) (7,3)
0 null null
1 (10,1) (11,1)
2 (3,13) (5,11)
2 (5,11) (7,9)
2 (7,9) (7,7)
2 null null
3 (8,9) (8,7)
3 (8,7) (6,9)
3 (6,9) (4,7)
3 null null
0 (5,2) (7,4)
0 null null
1 (11,1) (11,2)
2 (0,15) (1,14)
3 (13,15) (11,13)
3 null null
0 (6,3) (8,5)
0 null null
1 (11,2) (10,2)
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (11,10) (9,10)
3 (9,10) (7,12)
3 (7,12) (9,10)
3 null null
0 (8,11) (10,9)
0 (10,9) (10,11)
0 (10,11) (12,11)
0 (12,11) (12,13)
0 (12,13) (14,13)
0 null null
1 (13,2) (11,2)
1 null null
2 (4,11) (6,9)
2 (6,9) (8,7)
2 (8,7) (10,7)
2 null null
3 (9,10) (8,9)
0 (14,13) (15,14)
1 (12,1) (10,3)
1 (10,3) (10,1)
1 null null
2 (9,8) (11,6)
2 null null
3 (6,7) (5,6)
0 (4,5) (2,5)
0 (2,5) (4,5)
0 (4,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (6,9)
0 (6,9) (8,11)
0 null null
1 (14,3) (13,3)
2 (7,10) (9,8)
2 (9,8) (11,8)
2 null null
3 (8,9) (6,7)
3 (6,7) (4,5)
3 null null
0 (7,4) (9,6)
0 (9,6) (9,8)
0 (9,8) (9,10)
0 (9,10) (11,10)
0 (11,10) (11,12)
0 (11,12) (13,12)
0 (13,12) (15,12)
0 null null
1 (13,3) (15,1)
1 null null
2 (7,8) (7,6)
2 (7,6) (9,4)
2 null null
3 (13,13) (13,12)
0 (3,5) (5,5)
0 (5,5) (5,7)
0 (5,7) (5,9)
0 (5,9) (7,11)
0 (7,11) (9,11)
0 (9,11) (11,9)
0 null null
1 (13,1) (12,1)
2 (10,7) (12,5)
2 null null
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,8)
3 (7,8) (7,6)
3 null null
0 (8,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (10,7)
0 (10,7) (12,9)
0 null null
1 (12,2) (11,1)
2 (11,6) (13,4)
2 null null
3 (14,12) (13,12)
0 (15,14) (15,15)
1 (10,1) (10,0)
2 (12,5) (14,3)
2 null null
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,8)
3 null null
0 (15,12) (15,14)
0 null null
