# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 742
# Board class: halma.CCBoard
# Timeout: 100000
# Date: Sat Apr 05 18:17:29 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.33
# Player 2: Player-1, 'random', running on 142.157.148.33
# Player 3: Player-2, 'random', running on 142.157.148.33
# Player 4: Player-3, 'random', running on 142.157.148.33
START Player-0 s260401458
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (3,3)
1 (12,1) (11,2)
2 (1,12) (0,11)
3 (14,15) (12,13)
3 (12,13) (14,15)
3 (14,15) (12,13)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (13,2) (12,2)
2 (0,11) (0,10)
3 (15,15) (14,15)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 null null
1 (11,2) (11,3)
2 (1,14) (1,12)
2 (1,12) (1,14)
2 null null
3 (15,13) (15,15)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (6,5)
0 null null
1 (12,2) (12,1)
2 (0,12) (1,12)
3 (14,12) (15,13)
0 (0,3) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,3)
0 (6,3) (4,5)
0 null null
1 (15,1) (13,3)
1 (13,3) (15,1)
1 (15,1) (13,3)
1 null null
2 (2,13) (2,12)
3 (13,13) (13,12)
0 (1,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,6)
0 null null
1 (14,3) (15,4)
2 (2,12) (3,13)
3 (12,14) (11,15)
0 (3,3) (5,5)
0 (5,5) (7,5)
0 null null
1 (12,1) (11,1)
2 (3,15) (4,14)
3 (13,12) (13,11)
0 (4,4) (6,4)
0 (6,4) (8,6)
0 null null
1 (11,1) (11,2)
2 (2,15) (2,13)
2 null null
3 (13,14) (13,13)
0 (7,5) (9,7)
0 null null
1 (11,3) (11,4)
2 (1,13) (1,11)
2 null null
3 (12,13) (11,14)
0 (5,4) (7,6)
0 (7,6) (9,6)
0 (9,6) (9,8)
0 null null
1 (11,4) (12,5)
2 (1,11) (2,11)
3 (11,14) (10,13)
0 (8,6) (7,7)
1 (12,5) (12,6)
2 (4,14) (4,15)
3 (15,12) (15,11)
0 (4,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (10,9)
0 null null
1 (15,0) (13,2)
1 null null
2 (3,14) (4,13)
3 (14,13) (13,14)
0 (6,5) (6,6)
1 (11,2) (10,1)
2 (1,15) (1,13)
2 (1,13) (1,15)
2 (1,15) (1,13)
2 null null
3 (11,15) (11,14)
0 (9,7) (9,9)
0 (9,9) (11,9)
0 null null
1 (10,1) (9,2)
2 (1,14) (3,12)
2 (3,12) (3,14)
2 (3,14) (5,12)
2 (5,12) (3,14)
2 (3,14) (1,14)
2 (1,14) (3,14)
2 (3,14) (1,14)
2 null null
3 (15,13) (15,12)
0 (2,0) (4,2)
0 null null
1 (13,2) (14,3)
2 (3,13) (3,12)
3 (11,14) (10,14)
0 (2,1) (4,1)
0 (4,1) (4,3)
0 null null
1 (14,1) (15,0)
2 (4,15) (4,14)
3 (10,14) (11,14)
0 (3,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (12,6) (12,5)
2 (0,10) (1,9)
3 (14,14) (12,14)
3 (12,14) (10,14)
3 (10,14) (10,12)
3 (10,12) (10,14)
3 null null
0 (3,1) (5,3)
0 (5,3) (5,5)
0 (5,5) (5,7)
0 null null
1 (14,2) (14,1)
2 (4,14) (3,13)
3 (10,13) (11,13)
0 (4,3) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 null null
1 (14,3) (12,3)
1 null null
2 (1,13) (0,12)
3 (13,13) (12,12)
0 (6,6) (8,8)
0 (8,8) (10,8)
0 (10,8) (12,10)
0 (12,10) (14,12)
0 null null
1 (12,3) (11,3)
2 (1,9) (0,8)
3 (15,11) (15,10)
0 (7,7) (9,7)
0 (9,7) (9,9)
0 null null
1 (12,5) (12,6)
2 (3,13) (4,12)
3 (11,13) (12,13)
0 (10,9) (11,10)
1 (12,6) (13,6)
2 (1,12) (3,14)
2 (3,14) (1,12)
2 null null
3 (13,11) (12,10)
