# Server version 0.08 running on 142.157.148.33:8123
# Game ID: 778
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sat Apr 05 20:16:51 PDT 2014
# Player 1: Player-0, 's260401458', running on 142.157.148.33
# Player 2: Player-1, 's260401458', running on 142.157.148.33
# Player 3: Player-2, 's260401458', running on 142.157.148.33
# Player 4: Player-3, 's260401458', running on 142.157.148.33
START Player-0 s260401458
START Player-1 s260401458
START Player-2 s260401458
START Player-3 s260401458
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (2,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (14,1) (12,3)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (0,0) (2,2)
0 (2,2) (2,4)
0 null null
1 (13,2) (11,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (15,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (11,9)
3 null null
0 (1,3) (3,3)
0 (3,3) (5,5)
0 null null
1 (13,1) (11,3)
1 (11,3) (11,5)
1 null null
2 (2,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (12,12) (14,14)
3 (14,14) (12,12)
3 (12,12) (12,10)
3 (12,10) (10,8)
3 null null
0 (2,3) (4,5)
0 (4,5) (6,5)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,6)
1 null null
2 (2,15) (4,13)
2 null null
3 (12,11) (10,9)
3 (10,9) (10,7)
3 (10,7) (10,5)
3 null null
0 (3,4) (5,4)
0 (5,4) (7,6)
0 null null
1 (11,4) (13,2)
1 (13,2) (11,4)
1 (11,4) (9,6)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (11,9) (9,7)
3 (9,7) (9,5)
3 null null
0 (4,4) (6,6)
0 (6,6) (8,6)
0 (8,6) (10,4)
0 (10,4) (12,6)
0 null null
1 (11,5) (9,7)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,10)
2 null null
3 (10,8) (8,6)
3 (8,6) (6,6)
3 (6,6) (4,4)
3 null null
0 (6,5) (8,7)
0 (8,7) (10,7)
0 null null
1 (13,0) (11,2)
1 null null
2 (3,11) (5,11)
2 (5,11) (7,9)
2 null null
3 (10,5) (8,7)
3 (8,7) (6,5)
3 (6,5) (4,5)
3 (4,5) (4,3)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,4)
0 (5,4) (5,6)
0 null null
1 (10,6) (8,6)
1 (8,6) (6,6)
1 (6,6) (4,6)
1 null null
2 (6,10) (8,8)
2 (8,8) (10,6)
2 (10,6) (8,4)
2 (8,4) (10,6)
2 (10,6) (8,4)
2 null null
3 (13,15) (11,13)
3 null null
0 (3,0) (1,0)
0 (1,0) (3,2)
0 (3,2) (5,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (4,10) (6,10)
2 (6,10) (8,8)
2 (8,8) (10,6)
2 null null
3 (12,14) (10,12)
3 null null
0 (2,0) (4,2)
0 null null
1 (14,3) (12,5)
1 (12,5) (12,7)
1 null null
2 (4,11) (6,9)
2 (6,9) (8,9)
2 null null
3 (14,13) (12,13)
3 (12,13) (10,13)
3 (10,13) (10,11)
3 (10,11) (12,9)
3 (12,9) (10,11)
3 (10,11) (12,9)
3 (12,9) (10,11)
3 null null
0 (3,1) (5,3)
0 null null
1 (9,6) (11,6)
1 (11,6) (9,8)
1 (9,8) (7,10)
1 null null
2 (2,14) (4,14)
2 (4,14) (6,12)
2 null null
3 (11,13) (9,11)
3 null null
0 (4,2) (6,4)
0 null null
1 (13,3) (13,5)
1 (13,5) (11,7)
1 null null
2 (3,14) (5,12)
2 (5,12) (7,12)
2 null null
3 (10,12) (8,10)
3 (8,10) (6,8)
3 null null
0 (5,3) (7,5)
0 (7,5) (7,7)
0 (7,7) (5,9)
0 (5,9) (5,11)
0 (5,11) (7,13)
0 null null
1 (12,1) (10,3)
1 null null
2 (4,13) (6,13)
2 (6,13) (8,11)
2 (8,11) (6,9)
2 (6,9) (6,7)
2 (6,7) (8,5)
2 (8,5) (10,5)
2 null null
3 (10,11) (8,11)
3 (8,11) (6,9)
3 (6,9) (6,7)
3 (6,7) (4,5)
3 (4,5) (6,3)
3 (6,3) (4,5)
3 (4,5) (6,3)
3 null null
0 (5,4) (7,4)
0 (7,4) (9,4)
0 (9,4) (11,6)
0 (11,6) (13,8)
0 null null
1 (11,2) (9,4)
1 (9,4) (7,4)
1 (7,4) (5,4)
1 (5,4) (3,4)
1 (3,4) (1,4)
1 null null
2 (6,12) (8,12)
2 (8,12) (10,10)
2 (10,10) (12,10)
2 null null
3 (9,5) (7,3)
3 (7,3) (5,3)
3 (5,3) (3,3)
3 (3,3) (1,5)
3 (1,5) (1,3)
3 null null
0 (5,5) (7,3)
0 (7,3) (9,5)
0 (9,5) (11,5)
0 (11,5) (13,7)
0 (13,7) (13,9)
0 null null
1 (12,7) (14,9)
1 (14,9) (12,9)
1 (12,9) (10,11)
1 (10,11) (8,11)
1 (8,11) (6,13)
1 (6,13) (4,13)
1 null null
2 (7,9) (5,7)
2 (5,7) (5,5)
2 (5,5) (7,3)
2 null null
3 (15,15) (14,14)
0 (10,7) (12,7)
0 (12,7) (14,9)
0 null null
1 (13,4) (11,2)
1 (11,2) (9,4)
1 (9,4) (7,4)
1 (7,4) (5,4)
1 (5,4) (3,4)
1 null null
2 (1,12) (3,14)
2 (3,14) (5,12)
2 null null
3 (14,14) (12,12)
3 null null
