# Server version 0.08 running on George_y410p:8123
# Game ID: 790
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Apr 06 00:37:29 PDT 2014
# Player 1: Player-0, 's260401458', running on George_y410p
# Player 2: Player-1, 'sSingMovePlayer', running on George_y410p
# Player 3: Player-2, 'sSingMovePlayer', running on George_y410p
# Player 4: Player-3, 'Human', running on George_y410p
START Player-0 s260401458
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 Human
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 (14,4) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (4,4) (5,5)
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 null null
3 (11,11) (10,10)
0 (0,1) (2,3)
0 (2,3) (4,3)
0 null null
1 (13,2) (11,4)
1 null null
2 (2,15) (4,13)
2 null null
3 (15,13) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,9)
3 null null
0 (2,0) (4,2)
0 (4,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (13,0) (11,2)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (9,9) (8,8)
0 (5,5) (7,7)
0 (7,7) (9,9)
0 (9,9) (11,11)
0 (11,11) (13,13)
0 (13,13) (15,15)
0 null null
1 (12,3) (10,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 (4,11) (4,9)
2 null null
