# Server version 0.08 running on George_y410p:8123
# Game ID: 794
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Sun Apr 06 00:44:12 PDT 2014
# Player 1: Player-0, 's260401458', running on George_y410p
# Player 2: Player-1, 'sSingMovePlayer', running on George_y410p
# Player 3: Player-2, 's260401458', running on George_y410p
# Player 4: Player-3, 'Human', running on George_y410p
START Player-0 s260401458
START Player-1 sSingMovePlayer
START Player-2 s260401458
START Player-3 Human
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (13,13) (12,12)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,15) (13,13)
3 (13,13) (11,11)
3 null null
0 (4,4) (5,5)
1 (15,3) (13,5)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (11,11) (10,10)
0 (2,0) (0,0)
0 (0,0) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (14,4) (12,6)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (15,13) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,9)
3 null null
0 (6,6) (7,7)
1 (14,1) (12,3)
1 null null
2 (2,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (9,9) (8,8)
0 (7,7) (9,9)
0 (9,9) (11,11)
0 (11,11) (13,13)
0 (13,13) (15,15)
0 null null
1 (13,2) (11,4)
1 null null
2 (3,11) (5,11)
2 (5,11) (7,9)
2 (7,9) (9,7)
2 null null
3 (13,15) (13,13)
3 (13,13) (11,11)
3 (11,11) (9,9)
3 (9,9) (7,7)
3 null null
0 (0,2) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (13,0) (11,2)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,14) (13,13)
0 (1,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (12,3) (10,5)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (13,13) (11,11)
3 (11,11) (9,9)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (10,7)
0 null null
1 (11,4) (9,6)
1 (9,6) (9,8)
1 (9,8) (7,8)
1 null null
2 (4,11) (6,9)
2 (6,9) (8,7)
2 null null
3 (14,13) (13,13)
0 (0,3) (2,3)
0 (2,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,9)
0 (8,9) (10,9)
0 (10,9) (10,11)
0 null null
1 (13,5) (11,7)
1 null null
2 (2,14) (4,14)
2 (4,14) (6,12)
2 null null
3 (13,13) (11,11)
3 null null
0 (2,1) (0,1)
0 (0,1) (2,3)
0 (2,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,9)
0 (8,9) (10,9)
0 null null
1 (12,6) (10,8)
1 (10,8) (8,10)
1 null null
2 (5,10) (7,10)
2 (7,10) (9,10)
2 (9,10) (11,8)
2 (11,8) (11,6)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,6)
3 (7,6) (5,6)
3 (5,6) (5,4)
3 null null
0 (10,11) (12,11)
0 (12,11) (12,13)
0 null null
1 (15,2) (13,4)
1 null null
2 (4,13) (6,13)
2 (6,13) (6,11)
2 (6,11) (6,9)
2 null null
3 (14,12) (13,12)
0 (10,9) (8,9)
0 (8,9) (10,9)
0 (10,9) (10,11)
0 (10,11) (12,11)
0 (12,11) (14,13)
0 null null
1 (14,3) (12,5)
1 null null
2 (6,10) (6,8)
2 (6,8) (8,6)
2 null null
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,6)
3 (7,6) (5,6)
3 null null
0 (5,5) (5,3)
0 (5,3) (5,5)
0 (5,5) (5,7)
0 (5,7) (7,5)
0 (7,5) (5,7)
0 (5,7) (7,5)
0 null null
1 (7,8) (5,10)
1 null null
2 (8,6) (10,8)
2 (10,8) (12,6)
2 (12,6) (12,4)
2 (12,4) (14,4)
2 (14,4) (12,2)
2 (12,2) (14,0)
2 null null
3 (5,6) (5,5)
0 (7,5) (8,6)
1 (14,2) (12,4)
1 (12,4) (12,6)
1 (12,6) (10,8)
1 null null
2 (5,13) (7,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,8)
3 (7,8) (7,6)
3 (7,6) (5,6)
3 null null
0 (10,7) (10,9)
0 (10,9) (10,11)
0 (10,11) (12,11)
0 null null
1 (12,5) (10,7)
1 (10,7) (10,9)
1 (10,9) (8,9)
1 (8,9) (8,11)
1 (8,11) (6,11)
1 (6,11) (6,13)
1 null null
2 (8,7) (10,7)
2 (10,7) (12,5)
2 (12,5) (14,3)
2 null null
3 (13,14) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,8)
3 (7,8) (7,6)
3 null null
0 (8,6) (6,8)
0 (6,8) (6,10)
0 (6,10) (8,12)
0 null null
1 (12,1) (10,3)
1 null null
2 (0,15) (1,14)
3 (14,15) (13,14)
0 (12,13) (14,15)
0 null null
1 (11,2) (9,4)
1 null null
2 (1,14) (3,12)
2 null null
3 (5,4) (4,4)
0 (1,2) (2,3)
1 (10,3) (8,5)
1 (8,5) (6,7)
1 null null
2 (2,13) (4,11)
2 null null
3 (4,4) (2,2)
3 (2,2) (0,0)
3 null null
0 (2,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (8,7)
0 (8,7) (10,7)
0 (10,7) (12,7)
0 null null
1 (15,0) (13,0)
1 (13,0) (11,0)
1 null null
2 (0,12) (2,12)
2 (2,12) (4,12)
2 (4,12) (4,10)
2 (4,10) (6,10)
2 (6,10) (6,8)
2 (6,8) (8,6)
2 null null
3 (5,6) (5,4)
3 null null
0 (6,6) (4,4)
0 (4,4) (6,6)
0 (6,6) (6,8)
0 (6,8) (6,10)
0 null null
1 (11,0) (10,1)
2 (3,15) (3,13)
2 (3,13) (3,11)
2 (3,11) (5,11)
2 (5,11) (7,9)
2 (7,9) (9,11)
2 (9,11) (11,9)
2 null null
3 (7,6) (6,6)
0 (8,12) (9,13)
1 (6,13) (5,14)
2 (14,0) (15,0)
3 (5,4) (4,4)
0 (3,4) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,8)
0 (7,8) (9,8)
0 (9,8) (11,8)
0 (11,8) (11,10)
0 (11,10) (13,12)
0 (13,12) (15,14)
0 null null
1 (5,14) (4,15)
2 (6,9) (6,11)
2 (6,11) (8,11)
2 (8,11) (8,9)
2 (8,9) (10,9)
2 (10,9) (12,9)
2 null null
3 (12,15) (12,13)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 (3,4) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,8)
0 (7,8) (9,8)
0 (9,8) (11,8)
0 (11,8) (13,10)
0 (13,10) (11,12)
0 (11,12) (13,12)
0 (13,12) (11,14)
0 (11,14) (13,12)
0 (13,12) (11,14)
0 (11,14) (13,12)
0 null null
1 (4,15) (3,15)
2 (4,11) (6,9)
2 null null
3 (13,14) (11,12)
3 (11,12) (11,10)
3 (11,10) (9,10)
3 (9,10) (9,8)
3 (9,8) (7,8)
3 (7,8) (7,6)
3 (7,6) (5,6)
3 (5,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (3,2)
3 null null
0 (6,10) (8,12)
0 (8,12) (10,14)
0 null null
1 (5,10) (4,11)
2 (3,12) (5,10)
2 (5,10) (7,8)
2 (7,8) (9,8)
2 (9,8) (11,8)
2 (11,8) (13,6)
2 null null
3 (12,14) (11,13)
0 (9,13) (11,15)
0 null null
1 (10,1) (9,2)
2 (13,6) (14,5)
3 (11,13) (11,12)
0 (11,15) (12,14)
1 (9,2) (8,3)
2 (11,6) (11,8)
