# Server version 0.08 running on George_y410p:8123
# Game ID: 830
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Mon Apr 07 11:17:38 PDT 2014
# Player 1: Player-0, 'Human', running on George_y410p
# Player 2: Player-1, 's260401458', running on George_y410p
# Player 3: Player-2, 's260401458', running on George_y410p
# Player 4: Player-3, 's260401458', running on George_y410p
START Player-0 Human
START Player-1 s260401458
START Player-2 s260401458
START Player-3 s260401458
0 (2,2) (3,3)
1 (13,2) (12,3)
2 (1,12) (2,12)
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (15,3) (13,3)
1 (13,3) (15,3)
1 (15,3) (13,3)
1 (13,3) (11,3)
1 null null
2 (2,12) (3,13)
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (4,4) (5,5)
1 (15,0) (13,2)
1 (13,2) (11,4)
1 null null
2 (0,14) (2,12)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (0,2) (2,2)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 null null
1 (14,0) (12,2)
1 (12,2) (10,4)
1 null null
2 (1,13) (3,11)
2 null null
3 (15,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (11,9)
3 null null
0 (3,0) (3,2)
0 (3,2) (3,4)
0 null null
1 (15,1) (13,3)
1 null null
2 (1,14) (3,12)
2 (3,12) (3,10)
2 null null
3 (13,13) (15,13)
3 (15,13) (13,11)
3 (13,11) (11,11)
3 null null
0 (0,3) (2,3)
0 (2,3) (4,3)
0 null null
1 (13,0) (11,2)
1 null null
2 (2,13) (2,11)
2 (2,11) (4,9)
2 null null
3 (13,15) (11,13)
3 null null
0 (2,0) (2,2)
0 (2,2) (4,4)
0 (4,4) (4,2)
0 null null
1 (12,1) (10,3)
1 (10,3) (10,5)
1 null null
2 (2,15) (4,13)
2 null null
3 (12,14) (10,12)
3 (10,12) (12,10)
3 (12,10) (10,8)
3 null null
0 (1,1) (2,2)
1 (14,1) (12,1)
1 (12,1) (10,3)
1 (10,3) (12,5)
1 null null
2 (2,14) (4,14)
2 (4,14) (4,12)
2 (4,12) (2,10)
2 (2,10) (4,10)
2 (4,10) (4,8)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (13,10)
3 (13,10) (11,12)
3 null null
0 (6,6) (7,7)
1 (15,2) (13,2)
1 (13,2) (13,4)
1 (13,4) (11,6)
1 (11,6) (9,4)
1 null null
2 (0,15) (2,15)
2 (2,15) (4,15)
2 null null
3 (12,15) (11,14)
0 (2,2) (4,4)
0 (4,4) (6,6)
0 (6,6) (8,8)
0 null null
1 (14,3) (14,1)
1 (14,1) (12,1)
1 (12,1) (10,3)
1 (10,3) (8,5)
1 null null
2 (3,14) (5,12)
2 null null
3 (14,13) (12,15)
3 (12,15) (10,13)
3 null null
0 (1,0) (3,2)
0 (3,2) (5,4)
0 (5,4) (5,6)
0 null null
1 (14,2) (12,4)
1 (12,4) (12,6)
1 null null
2 (3,15) (5,15)
2 null null
3 (11,10) (13,12)
3 (13,12) (11,10)
3 (11,10) (11,8)
3 (11,8) (9,8)
3 (9,8) (7,8)
3 (7,8) (7,6)
3 null null
0 (0,1) (2,3)
0 (2,3) (4,5)
0 (4,5) (6,7)
0 null null
1 (12,0) (14,2)
1 (14,2) (12,4)
1 (12,4) (10,2)
1 null null
2 (0,12) (1,11)
3 (11,12) (13,12)
3 (13,12) (11,10)
3 (11,10) (11,8)
3 (11,8) (9,8)
3 (9,8) (7,8)
3 null null
GAMEOVER USER CANCEL
UNDECIDED
# Game ended: Mon Apr 07 11:19:24 PDT 2014
