# Server version 0.08 running on George_y410p:8123
# Game ID: 831
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Mon Apr 07 11:19:32 PDT 2014
# Player 1: Player-0, 'Human', running on George_y410p
# Player 2: Player-1, 'sSingMovePlayer', running on George_y410p
# Player 3: Player-2, 'sSingMovePlayer', running on George_y410p
# Player 4: Player-3, 'sSingMovePlayer', running on George_y410p
START Player-0 Human
START Player-1 sSingMovePlayer
START Player-2 sSingMovePlayer
START Player-3 sSingMovePlayer
0 (2,2) (3,3)
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (0,0) (2,2)
0 (2,2) (4,4)
0 null null
1 (14,0) (12,2)
1 (12,2) (14,4)
1 (14,4) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (13,13) (11,11)
3 null null
0 (1,0) (3,2)
0 null null
1 (14,1) (12,3)
1 null null
2 (2,15) (4,13)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 (12,11) (10,11)
3 null null
0 (0,1) (2,3)
0 null null
1 (13,2) (11,4)
1 null null
2 (1,15) (3,13)
2 (3,13) (5,13)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,12)
3 (11,12) (9,10)
3 null null
0 (2,1) (4,3)
0 null null
1 (13,0) (11,2)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (13,15) (11,13)
3 (11,13) (13,11)
3 (13,11) (11,13)
3 null null
0 (1,2) (3,4)
0 null null
1 (15,2) (13,4)
1 null null
2 (3,14) (5,12)
2 (5,12) (3,10)
2 null null
3 (12,14) (10,12)
3 (10,12) (10,10)
3 (10,10) (8,10)
3 null null
0 (3,3) (5,5)
0 null null
1 (14,3) (12,5)
1 (12,5) (10,3)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (15,13) (13,11)
3 null null
0 (5,5) (6,6)
1 (13,1) (11,3)
1 (11,3) (9,3)
1 null null
2 (2,13) (3,12)
3 (14,12) (12,10)
3 null null
0 (3,1) (3,3)
0 (3,3) (5,5)
0 (5,5) (7,7)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,4)
1 (10,4) (8,2)
1 (8,2) (10,4)
1 null null
2 (1,12) (2,11)
3 (15,12) (14,11)
0 (7,7) (8,8)
1 (15,3) (14,4)
2 (3,15) (4,14)
3 (12,15) (11,14)
0 (1,3) (3,3)
0 (3,3) (5,5)
0 (5,5) (7,7)
0 (7,7) (9,9)
0 null null
1 (12,0) (11,1)
2 (0,12) (1,11)
3 (13,14) (12,13)
0 (3,2) (5,4)
0 null null
1 (12,1) (10,1)
1 null null
2 (2,14) (3,13)
3 (14,13) (13,12)
0 (5,4) (6,5)
1 (11,2) (9,4)
1 null null
2 (2,12) (4,10)
2 (4,10) (6,10)
2 null null
3 (10,11) (8,9)
3 (8,9) (8,7)
3 null null
0 (2,3) (4,5)
0 null null
1 (10,3) (8,5)
1 null null
2 (4,11) (6,9)
2 null null
3 (12,12) (10,10)
3 null null
0 (3,4) (5,6)
0 null null
1 (9,4) (7,6)
1 (7,6) (5,4)
1 (5,4) (3,6)
1 null null
2 (5,10) (7,8)
2 (7,8) (9,6)
2 (9,6) (7,4)
2 null null
3 (13,11) (11,9)
3 null null
0 (1,1) (2,1)
1 (12,3) (10,5)
1 null null
2 (4,14) (6,12)
2 null null
3 (12,10) (10,8)
3 null null
0 (2,0) (2,2)
0 null null
1 (11,4) (9,6)
1 (9,6) (7,8)
1 (7,8) (5,10)
1 null null
2 (5,13) (7,11)
2 null null
3 (11,9) (9,7)
3 (9,7) (7,7)
3 (7,7) (5,5)
3 (5,5) (3,3)
3 (3,3) (1,1)
3 null null
0 (2,1) (2,3)
0 null null
1 (3,6) (2,7)
2 (2,11) (4,9)
2 null null
3 (1,1) (0,0)
