# Server version 0.08 running on George_y410p:8123
# Game ID: 854
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Thu Apr 10 22:15:21 PDT 2014
# Player 1: Player-0, 's260401458', running on George_y410p
# Player 2: Player-1, 's260401458', running on George_y410p
# Player 3: Player-2, 's260401458', running on George_y410p
# Player 4: Player-3, 's260401458', running on George_y410p
START Player-0 s260401458
START Player-1 s260401458
START Player-2 s260401458
START Player-3 s260401458
0 (0,1) (2,3)
0 null null
1 (15,1) (13,3)
1 null null
2 (0,14) (2,12)
2 null null
3 (14,14) (12,12)
3 null null
0 (1,2) (3,4)
0 null null
1 (14,0) (12,2)
1 null null
2 (1,13) (3,11)
2 null null
3 (14,15) (12,13)
3 (12,13) (12,11)
3 null null
0 (1,1) (3,3)
0 (3,3) (3,5)
0 null null
1 (14,1) (12,3)
1 null null
2 (0,13) (2,11)
2 (2,11) (4,11)
2 null null
3 (15,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (0,2) (2,4)
0 (2,4) (4,6)
0 null null
1 (13,2) (11,4)
1 null null
2 (1,14) (3,12)
2 (3,12) (5,10)
2 null null
3 (15,13) (13,11)
3 (13,11) (11,11)
3 (11,11) (11,9)
3 null null
0 (2,2) (2,4)
0 (2,4) (4,4)
0 null null
1 (13,1) (11,3)
1 (11,3) (11,5)
1 null null
2 (1,12) (3,12)
2 (3,12) (3,10)
2 (3,10) (5,12)
2 null null
3 (13,13) (15,13)
3 (15,13) (13,11)
3 (13,11) (11,11)
3 null null
0 (1,3) (3,3)
0 (3,3) (5,5)
0 null null
1 (14,2) (12,4)
1 (12,4) (10,6)
1 null null
2 (2,15) (4,13)
2 (4,13) (6,11)
2 (6,11) (4,9)
2 null null
3 (13,15) (11,13)
3 null null
0 (2,0) (4,2)
0 null null
1 (13,0) (11,2)
1 null null
2 (0,15) (2,15)
2 (2,15) (4,13)
2 (4,13) (6,11)
2 null null
3 (12,14) (10,12)
3 (10,12) (12,10)
3 (12,10) (10,8)
3 null null
0 (2,1) (4,1)
0 (4,1) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,5)
0 null null
1 (15,2) (13,4)
1 null null
2 (3,14) (1,12)
2 (1,12) (3,12)
2 (3,12) (3,10)
2 (3,10) (5,8)
2 null null
3 (15,12) (13,12)
3 (13,12) (11,12)
3 (11,12) (13,10)
3 (13,10) (11,12)
3 null null
0 (0,0) (2,0)
0 (2,0) (4,0)
0 null null
1 (14,3) (12,5)
1 (12,5) (10,5)
1 (10,5) (10,7)
1 (10,7) (10,9)
1 null null
2 (1,15) (3,13)
2 null null
3 (12,15) (11,14)
0 (3,0) (3,2)
0 (3,2) (5,2)
0 null null
1 (12,1) (10,3)
1 null null
2 (2,14) (4,12)
2 (4,12) (6,12)
2 (6,12) (6,10)
2 null null
3 (14,13) (12,15)
3 (12,15) (10,13)
3 null null
0 (3,1) (5,3)
0 null null
1 (15,3) (14,4)
2 (2,13) (4,13)
2 null null
3 (14,12) (13,11)
0 (0,3) (1,4)
1 (12,0) (11,1)
2 (3,15) (4,14)
3 (13,14) (12,13)
0 (3,5) (5,7)
0 (5,7) (5,9)
0 (5,9) (7,11)
0 null null
1 (12,3) (14,3)
1 (14,3) (12,5)
1 (12,5) (10,5)
1 (10,5) (10,7)
1 null null
2 (0,12) (1,11)
3 (11,10) (11,8)
3 (11,8) (9,6)
3 null null
0 (5,3) (5,1)
0 (5,1) (5,3)
0 (5,3) (3,5)
0 (3,5) (5,7)
0 (5,7) (5,9)
0 (5,9) (5,11)
0 (5,11) (5,13)
0 (5,13) (3,15)
0 (3,15) (5,13)
0 (5,13) (3,15)
0 null null
1 (11,4) (11,6)
1 (11,6) (9,8)
1 (9,8) (11,10)
1 (11,10) (9,8)
1 (9,8) (11,10)
1 null null
2 (4,11) (6,13)
2 (6,13) (4,11)
2 (4,11) (6,9)
2 (6,9) (4,7)
2 (4,7) (4,5)
2 (4,5) (4,3)
2 (4,3) (6,1)
2 null null
3 (11,9) (9,7)
3 (9,7) (9,5)
3 null null
0 (2,3) (4,5)
0 (4,5) (4,7)
0 (4,7) (6,9)
0 (6,9) (4,11)
0 null null
1 (12,2) (10,2)
1 (10,2) (10,4)
1 (10,4) (8,6)
1 null null
2 (3,13) (5,13)
2 (5,13) (5,11)
2 (5,11) (7,9)
2 null null
3 (11,11) (13,13)
3 (13,13) (11,11)
3 (11,11) (11,9)
3 (11,9) (9,7)
3 (9,7) (7,5)
3 null null
0 (1,0) (2,1)
1 (11,5) (9,7)
1 (9,7) (11,9)
1 (11,9) (9,9)
1 null null
2 (2,12) (4,10)
2 (4,10) (4,8)
2 null null
3 (12,12) (12,10)
3 (12,10) (10,10)
3 (10,10) (8,8)
3 null null
0 (2,1) (3,2)
1 (11,10) (9,8)
1 (9,8) (7,8)
1 (7,8) (7,10)
1 (7,10) (7,12)
1 null null
2 (4,13) (5,14)
3 (11,14) (13,12)
3 (13,12) (11,10)
3 null null
0 (5,5) (6,6)
1 (15,0) (14,1)
2 (5,10) (7,10)
2 null null
3 (15,15) (14,14)
0 (4,2) (5,3)
1 (14,1) (13,2)
2 (7,10) (8,11)
3 (14,14) (13,13)
0 (6,6) (7,7)
1 (13,2) (12,3)
2 (4,8) (5,9)
3 (13,13) (12,12)
0 (3,2) (4,3)
1 (10,7) (11,8)
2 (5,14) (6,15)
3 (11,10) (13,12)
3 null null
0 (4,6) (5,7)
1 (11,1) (12,2)
2 (4,9) (5,10)
3 (7,5) (9,7)
3 null null
0 (7,11) (8,12)
1 (10,3) (11,4)
2 (5,10) (7,10)
2 null null
3 (9,6) (10,7)
0 (5,3) (6,4)
1 (11,4) (12,5)
2 (7,10) (9,12)
2 null null
3 (10,7) (12,9)
3 null null
0 (7,7) (8,7)
1 (14,4) (15,5)
2 (9,12) (11,14)
2 null null
3 (12,9) (13,10)
0 (5,7) (6,8)
1 (15,5) (15,4)
2 (11,14) (12,15)
3 (8,8) (10,10)
3 null null
0 (6,8) (8,10)
0 null null
1 (15,4) (15,3)
2 (6,1) (7,2)
3 (13,12) (14,13)
0 (8,12) (9,13)
1 (15,3) (14,4)
2 (5,12) (6,13)
3 (14,13) (13,12)
0 (9,13) (10,14)
1 (14,4) (15,5)
2 (6,13) (7,14)
3 (13,12) (14,13)
0 (10,14) (11,15)
1 (15,5) (15,4)
2 (7,14) (8,15)
3 (14,13) (13,12)
0 (11,15) (13,15)
0 null null
